Entity,Layer,XS,YS,XE,YE,XM,YM,point,geometry,X,Y,distance,pointinfo_index
Circle,PS_YSP,37494180.139,2394353.009,37494180.139,2394353.009,37494179.539,2394353.009,1.0,"c(37494179.839, 2394353.009)",37494179.839,2394353.009,509.0929800586091,
Circle,PS_YSP,37494173.287,2394378.112,37494173.287,2394378.112,37494172.687,2394378.112,1.0,"c(37494172.987, 2394378.112)",37494172.987,2394378.112,478.47439599978554,
Circle,PS_YSP,37494175.454,2394373.058,37494175.454,2394373.058,37494174.854,2394373.058,1.0,"c(37494175.154, 2394373.058)",37494175.154,2394373.058,480.49867431274913,
Circle,PS_YSP,37494172.213,2394353.42,37494172.213,2394353.42,37494171.613,2394353.42,1.0,"c(37494171.913, 2394353.42)",37494171.913,2394353.42,408.1905275875837,
Circle,PS_YSP,37494189.323,2394282.671,37494189.323,2394282.671,37494188.723,2394282.671,1.0,"c(37494189.023, 2394282.671)",37494189.023,2394282.671,434.4970311817847,
Circle,PS_YSP,37494189.389,2394282.975,37494189.389,2394282.975,37494188.789,2394282.975,1.0,"c(37494189.089, 2394282.975)",37494189.089,2394282.975,633.5127044741649,
Circle,PS_YSP,37494188.028,2394255.934,37494188.028,2394255.934,37494187.428,2394255.934,1.0,"c(37494187.728, 2394255.934)",37494187.728,2394255.934,647.2559256642871,
Circle,PS_YSP,37493665.062,2394687.75,37493665.062,2394687.75,37493664.462,2394687.75,1.0,"c(37493664.761999995, 2394687.75)",37493664.762,2394687.75,61.209198800863966,
Circle,PS_YSP,37490865.228,2394888.491,37490865.228,2394888.491,37490864.628,2394888.491,1.0,"c(37490864.928, 2394888.491)",37490864.928,2394888.491,2824.342286358626,
Circle,PS_YSP,37491775.906,2395372.642,37491775.906,2395372.642,37491775.306,2395372.642,1.0,"c(37491775.606000006, 2395372.642)",37491775.606000006,2395372.642,2054.439690349913,
Circle,PS_YSP,37494087.559,2396141.333,37494087.559,2396141.333,37494086.959,2396141.333,1.0,"c(37494087.259, 2396141.333)",37494087.259,2396141.333,1940.1175901448496,
Circle,PS_YSP,37493286.918,2394581.386,37493286.918,2394581.386,37493286.318,2394581.386,1.0,"c(37493286.618, 2394581.386)",37493286.618,2394581.386,542.6971293514084,
Circle,PS_YSP,37493287.224,2394591.864,37493287.224,2394591.864,37493286.624,2394591.864,1.0,"c(37493286.923999995, 2394591.864)",37493286.924,2394591.864,551.1012383786125,
Circle,PS_YSP,37493284.356,2394565.947,37493284.356,2394565.947,37493283.756,2394565.947,1.0,"c(37493284.055999994, 2394565.947)",37493284.056,2394565.947,544.717744120718,
Circle,PS_YSP,37493277.933,2394565.056,37493277.933,2394565.056,37493277.333,2394565.056,1.0,"c(37493277.633, 2394565.056)",37493277.633,2394565.056,573.4936407053029,
Circle,PS_YSP,37494000.549,2394662.315,37494000.549,2394662.315,37493999.949,2394662.315,1.0,"c(37494000.249, 2394662.315)",37494000.249,2394662.315,335.0955676489405,
Circle,PS_YSP,37494194.961,2394585.474,37494194.961,2394585.474,37494194.361,2394585.474,1.0,"c(37494194.661, 2394585.474)",37494194.661,2394585.474,29.539791756277054,
Circle,PS_YSP,37494177.295,2394585.482,37494177.295,2394585.482,37494176.695,2394585.482,1.0,"c(37494176.995000005, 2394585.482)",37494176.995000005,2394585.482,37.105726737174976,
Circle,PS_YSP,37494188.571,2394570.71,37494188.571,2394570.71,37494187.971,2394570.71,1.0,"c(37494188.271, 2394570.71)",37494188.271,2394570.71,908.2881213882869,
Circle,PS_YSP,37493451.967,2394633.619,37493451.967,2394633.619,37493451.367,2394633.619,1.0,"c(37493451.666999996, 2394633.619)",37493451.667,2394633.619,420.9712906110898,
Circle,PS_YSP,37493458.716,2394594.482,37493458.716,2394594.482,37493458.116,2394594.482,1.0,"c(37493458.41599999, 2394594.482)",37493458.41599999,2394594.482,549.0143668893378,
Circle,PS_YSP,37493466.142,2394609.485,37493466.142,2394609.485,37493465.542,2394609.485,1.0,"c(37493465.842, 2394609.485)",37493465.842,2394609.485,561.2770679301603,
Circle,PS_YSP,37493681.57,2394302.361,37493681.57,2394302.361,37493680.97,2394302.361,1.0,"c(37493681.269999996, 2394302.361)",37493681.27,2394302.361,388.4637664188132,
Circle,PS_YSP,37493681.559,2394305.232,37493681.559,2394305.232,37493680.959,2394305.232,1.0,"c(37493681.259, 2394305.232)",37493681.259,2394305.232,381.82312888721975,
Circle,PS_YSP,37493681.572,2394333.905,37493681.572,2394333.905,37493680.972,2394333.905,1.0,"c(37493681.272, 2394333.905)",37493681.272,2394333.905,30.868991644774244,
Circle,PS_YSP,37494199.109,2394433.966,37494199.109,2394433.966,37494198.509,2394433.966,1.0,"c(37494198.809, 2394433.966)",37494198.809,2394433.966,502.67530084730834,
Circle,PS_YSP,37494018.618,2394487.175,37494018.618,2394487.175,37494018.018,2394487.175,1.0,"c(37494018.318, 2394487.175)",37494018.318,2394487.175,752.2450163125218,
Circle,PS_YSP,37492397.093,2397631.874,37492397.093,2397631.874,37492396.493,2397631.874,1.0,"c(37492396.793, 2397631.874)",37492396.793,2397631.874,3130.9561650466467,
Circle,PS_YSP,37490878.911,2394880.708,37490878.911,2394880.708,37490878.311,2394880.708,1.0,"c(37490878.611, 2394880.708)",37490878.611,2394880.708,2875.6524287911398,
Circle,PS_YSP,37493688.547,2394774.245,37493688.547,2394774.245,37493687.947,2394774.245,1.0,"c(37493688.246999994, 2394774.245)",37493688.247,2394774.245,321.63827101916075,
Circle,PS_YSP,37493721.882,2396056.283,37493721.882,2396056.283,37493721.282,2396056.283,1.0,"c(37493721.582, 2396056.283)",37493721.582,2396056.283,1568.0234403389554,
Circle,PS_YSP,37494241.344,2395186.759,37494241.344,2395186.759,37494240.744,2395186.759,1.0,"c(37494241.044, 2395186.759)",37494241.044,2395186.759,905.2891692653883,
Circle,PS_YSP,37494236.666,2395192.48,37494236.666,2395192.48,37494236.066,2395192.48,1.0,"c(37494236.366, 2395192.48)",37494236.366,2395192.48,916.5897829026455,
Circle,PS_YSP,37494123.186,2395421.876,37494123.186,2395421.876,37494122.586,2395421.876,1.0,"c(37494122.886, 2395421.876)",37494122.886,2395421.876,1074.4371549672035,
Circle,PS_YSP,37494153.265,2396144.016,37494153.265,2396144.016,37494152.665,2396144.016,1.0,"c(37494152.965, 2396144.016)",37494152.965,2396144.016,1680.471493682989,
Circle,PS_YSP,37493655.778,2395752.462,37493655.778,2395752.462,37493655.178,2395752.462,1.0,"c(37493655.478, 2395752.462)",37493655.478,2395752.462,1292.1652630434717,
Circle,PS_YSP,37492394.206,2395758.137,37492394.206,2395758.137,37492393.606,2395758.137,1.0,"c(37492393.906, 2395758.137)",37492393.906,2395758.137,1881.1616568153652,
Circle,PS_YSP,37493670.466,2398549.076,37493670.466,2398549.076,37493669.866,2398549.076,1.0,"c(37493670.16599999, 2398549.076)",37493670.16599999,2398549.076,4175.683195571468,
Circle,PS_YSP,37493694.851,2398549.239,37493694.851,2398549.239,37493694.251,2398549.239,1.0,"c(37493694.551, 2398549.239)",37493694.551,2398549.239,4159.948814273951,
Circle,PS_YSP,37493068.933,2396027.83,37493068.933,2396027.83,37493068.333,2396027.83,1.0,"c(37493068.633, 2396027.83)",37493068.633,2396027.83,1493.9903043109161,
Circle,PS_YSP,37492270.112,2395160.384,37492270.112,2395160.384,37492269.512,2395160.384,1.0,"c(37492269.81200001, 2395160.384)",37492269.81200001,2395160.384,1532.2057481712595,
Circle,PS_YSP,37493241.976,2394921.924,37493241.976,2394921.924,37493241.376,2394921.924,1.0,"c(37493241.676, 2394921.924)",37493241.676,2394921.924,804.5983873180137,
Circle,PS_YSP,37492430.782,2395947.074,37492430.782,2395947.074,37492430.182,2395947.074,1.0,"c(37492430.48199999, 2395947.074)",37492430.48199999,2395947.074,1994.5302384199338,
Circle,PS_YSP,37492408.286,2395947.1,37492408.286,2395947.1,37492407.686,2395947.1,1.0,"c(37492407.986, 2395947.1)",37492407.986,2395947.1,2017.959602956738,
Circle,PS_YSP,37493732.767,2394764.811,37493732.767,2394764.811,37493732.167,2394764.811,1.0,"c(37493732.467, 2394764.811)",37493732.467,2394764.811,750.3864690881609,
Circle,PS_YSP,37494100.993,2397731.426,37494100.993,2397731.426,37494100.393,2397731.426,1.0,"c(37494100.693, 2397731.426)",37494100.693,2397731.426,3535.558518338436,
Circle,PS_YSP,37493090.737,2398258.311,37493090.737,2398258.311,37493090.137,2398258.311,1.0,"c(37493090.43700001, 2398258.311)",37493090.43700001,2398258.311,4190.277221606112,
Circle,PS_YSP,37493671.48,2397819.395,37493671.48,2397819.395,37493670.88,2397819.395,1.0,"c(37493671.18, 2397819.395)",37493671.18,2397819.395,3476.7875338623608,
Circle,PS_YSP,37493674.305,2397909.913,37493674.305,2397909.913,37493673.705,2397909.913,1.0,"c(37493674.004999995, 2397909.913)",37493674.005,2397909.913,3278.820596632285,
Circle,PS_YSP,37493725.178,2398521.742,37493725.178,2398521.742,37493724.578,2398521.742,1.0,"c(37493724.878000006, 2398521.742)",37493724.878000006,2398521.742,4180.734903861065,
Circle,PS_YSP,37493673.367,2397659.023,37493673.367,2397659.023,37493672.767,2397659.023,1.0,"c(37493673.067, 2397659.023)",37493673.067,2397659.023,3289.27654350027,
Circle,PS_YSP,37492438.286,2398448.678,37492438.286,2398448.678,37492437.686,2398448.678,1.0,"c(37492437.986, 2398448.678)",37492437.986,2398448.678,3921.651448048061,
Circle,PS_YSP,37492396.292,2398446.199,37492396.292,2398446.199,37492395.692,2398446.199,1.0,"c(37492395.992, 2398446.199)",37492395.992,2398446.199,3930.719209325913,
Circle,PS_YSP,37492393.99,2398537.284,37492393.99,2398537.284,37492393.39,2398537.284,1.0,"c(37492393.69, 2398537.284)",37492393.69,2398537.284,4024.3999957285914,
Circle,PS_YSP,37493679.019,2398658.611,37493679.019,2398658.611,37493678.419,2398658.611,1.0,"c(37493678.719, 2398658.611)",37493678.719,2398658.611,4065.376451502777,
Circle,PS_YSP,37494249.938,2396214.919,37494249.938,2396214.919,37494249.338,2396214.919,1.0,"c(37494249.638, 2396214.919)",37494249.638,2396214.919,1927.1036357225946,
Circle,PS_YSP,37493555.994,2396127.077,37493555.994,2396127.077,37493555.394,2396127.077,1.0,"c(37493555.694000006, 2396127.077)",37493555.694000006,2396127.077,1770.3988265280898,
Circle,PS_YSP,37493263.628,2395030.578,37493263.628,2395030.578,37493263.028,2395030.578,1.0,"c(37493263.327999994, 2395030.578)",37493263.328,2395030.578,861.9163399105992,
Circle,PS_YSP,37493398.476,2397492.735,37493398.476,2397492.735,37493397.876,2397492.735,1.0,"c(37493398.176, 2397492.735)",37493398.176,2397492.735,3135.790716949755,
Circle,PS_YSP,37493394.78,2397471.771,37493394.78,2397471.771,37493394.18,2397471.771,1.0,"c(37493394.480000004, 2397471.771)",37493394.48,2397471.771,3110.230418945161,
Circle,PS_YSP,37493526.541,2397471.417,37493526.541,2397471.417,37493525.941,2397471.417,1.0,"c(37493526.241, 2397471.417)",37493526.241,2397471.417,3111.3596151673337,
Circle,PS_YSP,37493527.316,2397494.294,37493527.316,2397494.294,37493526.716,2397494.294,1.0,"c(37493527.016, 2397494.294)",37493527.016,2397494.294,3135.51485936365,
Circle,PS_YSP,37493647.495,2397464.454,37493647.495,2397464.454,37493646.895,2397464.454,1.0,"c(37493647.195, 2397464.454)",37493647.195,2397464.454,3101.1068953091094,
Circle,PS_YSP,37493646.3,2397496.608,37493646.3,2397496.608,37493645.7,2397496.608,1.0,"c(37493646.0, 2397496.608)",37493646.0,2397496.608,2908.675351304845,
Circle,PS_YSP,37493558.681,2396178.351,37493558.681,2396178.351,37493558.081,2396178.351,1.0,"c(37493558.381, 2396178.351)",37493558.381,2396178.351,1607.5257704697767,
Circle,PS_YSP,37493824.721,2395084.08,37493824.721,2395084.08,37493824.121,2395084.08,1.0,"c(37493824.421000004, 2395084.08)",37493824.421,2395084.08,731.096760023637,
Circle,PS_YSP,37491715.857,2398148.832,37491715.857,2398148.832,37491715.257,2398148.832,1.0,"c(37491715.557, 2398148.832)",37491715.557,2398148.832,3895.4289211675996,
Circle,PS_YSP,37493659.073,2395723.156,37493659.073,2395723.156,37493658.473,2395723.156,1.0,"c(37493658.773, 2395723.156)",37493658.773,2395723.156,1350.5358817800466,
Circle,PS_YSP,37492166.147,2397473.8,37492166.147,2397473.8,37492165.547,2397473.8,1.0,"c(37492165.847, 2397473.8)",37492165.847,2397473.8,3426.916180037179,
Circle,PS_YSP,37493320.617,2397493.997,37493320.617,2397493.997,37493320.017,2397493.997,1.0,"c(37493320.317, 2397493.997)",37493320.317,2397493.997,2919.700717541824,
Circle,PS_YSP,37494249.685,2395354.504,37494249.685,2395354.504,37494249.085,2395354.504,1.0,"c(37494249.385000005, 2395354.504)",37494249.385000005,2395354.504,1302.188744272578,
Circle,PS_YSP,37493678.858,2395616.154,37493678.858,2395616.154,37493678.258,2395616.154,1.0,"c(37493678.558, 2395616.154)",37493678.558,2395616.154,1013.9711307732476,
Circle,PS_YSP,37491642.851,2395609.938,37491642.851,2395609.938,37491642.251,2395609.938,1.0,"c(37491642.551, 2395609.938)",37491642.551,2395609.938,2600.6524371527353,
Circle,PS_YSP,37492396.382,2395798.809,37492396.382,2395798.809,37492395.782,2395798.809,1.0,"c(37492396.082, 2395798.809)",37492396.082,2395798.809,2049.6103108088855,
Circle,PS_YSP,37492395.954,2395831.585,37492395.954,2395831.585,37492395.354,2395831.585,1.0,"c(37492395.654, 2395831.585)",37492395.654,2395831.585,2070.99719341018,
Circle,PS_YSP,37493669.642,2396079.065,37493669.642,2396079.065,37493669.042,2396079.065,1.0,"c(37493669.342, 2396079.065)",37493669.342,2396079.065,1532.3536195180748,
Circle,PS_YSP,37493726.498,2398610.954,37493726.498,2398610.954,37493725.898,2398610.954,1.0,"c(37493726.198, 2398610.954)",37493726.198,2398610.954,4032.780180207589,
Circle,PS_YSP,37491709.565,2397439.223,37491709.565,2397439.223,37491708.965,2397439.223,1.0,"c(37491709.265, 2397439.223)",37491709.265,2397439.223,3669.8989874292665,
Circle,PS_YSP,37491932.291,2397473.5,37491932.291,2397473.5,37491931.691,2397473.5,1.0,"c(37491931.991, 2397473.5)",37491931.991,2397473.5,3541.4433581003887,
Circle,PS_YSP,37492079.625,2397473.805,37492079.625,2397473.805,37492079.025,2397473.805,1.0,"c(37492079.325, 2397473.805)",37492079.325,2397473.805,3456.960403015828,
Circle,PS_YSP,37493725.816,2396657.872,37493725.816,2396657.872,37493725.216,2396657.872,1.0,"c(37493725.516, 2396657.872)",37493725.516,2396657.872,2062.1985899803044,
Circle,PS_YSP,37493094.365,2395632.067,37493094.365,2395632.067,37493093.765,2395632.067,1.0,"c(37493094.065, 2395632.067)",37493094.065,2395632.067,1350.8080960006191,
Circle,PS_YSP,37494303.715,2395743.313,37494303.715,2395743.313,37494303.115,2395743.313,1.0,"c(37494303.41500001, 2395743.313)",37494303.41500001,2395743.313,1492.4972538582524,
Circle,PS_YSP,37493685.983,2395238.752,37493685.983,2395238.752,37493685.383,2395238.752,1.0,"c(37493685.683, 2395238.752)",37493685.683,2395238.752,653.5713411818874,
Circle,PS_YSP,37493685.936,2395262.757,37493685.936,2395262.757,37493685.336,2395262.757,1.0,"c(37493685.636, 2395262.757)",37493685.636,2395262.757,868.1431156880789,
Circle,PS_YSP,37493679.48,2395255.778,37493679.48,2395255.778,37493678.88,2395255.778,1.0,"c(37493679.18, 2395255.778)",37493679.18,2395255.778,864.9578608643291,
Circle,PS_YSP,37492399.193,2398387.152,37492399.193,2398387.152,37492398.593,2398387.152,1.0,"c(37492398.89300001, 2398387.152)",37492398.89300001,2398387.152,4171.187882546508,
Circle,PS_YSP,37494240.372,2395244.837,37494240.372,2395244.837,37494239.772,2395244.837,1.0,"c(37494240.072, 2395244.837)",37494240.072,2395244.837,748.0712522978237,
Circle,PS_YSP,37491612.217,2395610.323,37491612.217,2395610.323,37491611.617,2395610.323,1.0,"c(37491611.916999996, 2395610.323)",37491611.917,2395610.323,2647.9602628306075,
Circle,PS_YSP,37493144.076,2395148.442,37493144.076,2395148.442,37493143.476,2395148.442,1.0,"c(37493143.776, 2395148.442)",37493143.776,2395148.442,1081.173688615678,
Circle,PS_YSP,37494152.009,2395354.376,37494152.009,2395354.376,37494151.409,2395354.376,1.0,"c(37494151.70900001, 2395354.376)",37494151.70900001,2395354.376,714.5167556403305,
Circle,PS_YSP,37494182.417,2395318.112,37494182.417,2395318.112,37494181.817,2395318.112,1.0,"c(37494182.117, 2395318.112)",37494182.117,2395318.112,973.8118053722927,
Circle,PS_YSP,37494202.381,2394845.923,37494202.381,2394845.923,37494201.781,2394845.923,1.0,"c(37494202.081, 2394845.923)",37494202.081,2394845.923,565.6977801239402,
Circle,PS_YSP,37494200.207,2394837.263,37494200.207,2394837.263,37494199.607,2394837.263,1.0,"c(37494199.907000005, 2394837.263)",37494199.907000005,2394837.263,558.5280800061612,
Circle,PS_YSP,37492408.8,2396899.189,37492408.8,2396899.189,37492408.2,2396899.189,1.0,"c(37492408.5, 2396899.189)",37492408.5,2396899.189,2924.5386487420506,
Circle,PS_YSP,37494227.145,2396474.246,37494227.145,2396474.246,37494226.545,2396474.246,1.0,"c(37494226.845, 2396474.246)",37494226.845,2396474.246,2119.1993550152897,
