Entity,Layer,Color,Linetype,Elevation,LineWt,RefName,Angle,ORIG_FID,geometry
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8098,"c(37490327.179, 2397172.579)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8099,"c(37490295.283, 2397178.901)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8100,"c(37490295.302, 2397176.345)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8101,"c(37490297.024, 2397168.038)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8102,"c(37490295.325, 2397177.246)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8103,"c(37490297.406, 2397166.001)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8104,"c(37490270.702, 2397176.957)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8105,"c(37490271.619, 2397173.811)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8106,"c(37490235.18, 2397155.488)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8107,"c(37490237.644, 2397153.21)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8108,"c(37490238.426, 2397152.255)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8109,"c(37490241.767, 2397148.664)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8110,"c(37490242.487, 2397148.089)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8111,"c(37490227.805, 2397140.136)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8112,"c(37490226.331, 2397140.848)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8113,"c(37490216.385, 2397130.127)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8114,"c(37490597.14, 2397110.342)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8115,"c(37490595.422, 2397101.908)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8116,"c(37490568.694, 2397117.787)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8117,"c(37490567.981, 2397115.043)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8118,"c(37490566.833, 2397109.454)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8119,"c(37490568.301, 2397116.454)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8120,"c(37490539.416, 2397124.506)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8121,"c(37490538.75, 2397121.91)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8122,"c(37490537.085, 2397115.678)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8123,"c(37490539.101, 2397123.061)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8124,"c(37490386.933, 2397160.219)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8125,"c(37490386.233, 2397157.311)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8126,"c(37490385.46, 2397152.185)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8127,"c(37490384.401, 2397149.988)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8128,"c(37490356.614, 2397167.441)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8129,"c(37490355.719, 2397164.695)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8130,"c(37490353.564, 2397158.664)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8131,"c(37490353.025, 2397157.264)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8132,"c(37490327.646, 2397174.149)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8133,"c(37490326.924, 2397171.73)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8134,"c(37490273.697, 2397167.112)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8135,"c(37490271.321, 2397174.872)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8136,"c(37490273.758, 2397165.609)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8137,"c(37490263.339, 2397168.613)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8138,"c(37490248.739, 2397166.336)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8139,"c(37490250.419, 2397163.109)"
