Entity,Layer,XS,YS,XE,YE,XM,YM,ID
Insert,ArrowPS_WSL,37493636.6477,2396179.24687,37493636.6477,2396179.24687,37493636.631,2396178.3186,80.0
Line,PS_WSL,37493119.955,2396606.973,37493082.737,2396606.871,37493101.346,2396606.922,81.0
Insert,ArrowPS_WSL,37493100.67,2396606.92015,37493100.67,2396606.92015,37493101.5984,2396606.92269,81.0
Line,PS_WSL,37493093.173,2395139.438,37493054.642,2395140.775,37493073.9075,2395140.1065,82.0
Insert,ArrowPS_WSL,37493073.2319,2395140.12994,37493073.2319,2395140.12994,37493074.1598,2395140.09775,82.0
Line,PS_WSL,37493385.106,2396203.496,37493391.38,2396203.543,37493388.243,2396203.5195,83.0
Insert,ArrowPS_WSL,37493388.919,2396203.52456,37493388.919,2396203.52456,37493387.9906,2396203.51761,83.0
Line,PS_WSL,37493393.809,2396184.697,37493394.277,2396188.206,37493394.043,2396186.4515,
Line,PS_WSL,37491556.155,2395275.283,37491526.115,2395275.457,37491541.135,2395275.37,84.0
Insert,ArrowPS_WSL,37491540.459,2395275.37392,37491540.459,2395275.37392,37491541.3874,2395275.36854,84.0
Line,PS_WSL,37491511.921,2395628.065,37491510.925,2395620.084,37491511.423,2395624.0745,85.0
Insert,ArrowPS_WSL,37491511.3393,2395623.40372,37491511.3393,2395623.40372,37491511.4543,2395624.32499,85.0
Line,PS_WSL,37491559.146,2395620.347,37491510.925,2395620.084,37491535.0355,2395620.2155,86.0
Insert,ArrowPS_WSL,37491534.3595,2395620.21181,37491534.3595,2395620.21181,37491535.2879,2395620.21688,86.0
Line,PS_WSL,37491424.612,2394817.705,37491437.921,2394813.937,37491431.2665,2394815.821,87.0
Insert,ArrowPS_WSL,37491431.9169,2394815.63686,37491431.9169,2394815.63686,37491431.0236,2394815.88977,87.0
Line,PS_WSL,37493391.058,2396290.305,37493344.679,2396289.342,37493367.8685,2396289.8235,88.0
Insert,ArrowPS_WSL,37493367.1927,2396289.80947,37493367.1927,2396289.80947,37493368.1209,2396289.82874,88.0
Line,PS_WSL,37493160.166,2395128.135,37493101.769,2395128.482,37493130.9675,2395128.3085,89.0
Insert,ArrowPS_WSL,37493130.2915,2395128.31252,37493130.2915,2395128.31252,37493131.2199,2395128.307,89.0
Line,PS_WSL,37493282.51,2395029.423,37493282.49,2395030.809,37493282.5,2395030.116,
Line,PS_WSL,37492383.507,2395264.363,37492404.526,2395289.189,37492394.0165,2395276.776,90.0
Insert,ArrowPS_WSL,37492394.4533,2395277.29191,37492394.4533,2395277.29191,37492393.8534,2395276.58334,90.0
Line,PS_WSL,37492404.52,2395479.407,37492404.502,2395448.259,37492404.511,2395463.833,91.0
Insert,ArrowPS_WSL,37492404.5106,2395463.15702,37492404.5106,2395463.15702,37492404.5111,2395464.08544,91.0
