Entity,Layer,XS,YS,XE,YE,XM,YM,ID
Insert,ArrowPS_HSL,37489567.6923,2399222.44355,37489567.6923,2399222.44355,37489567.1555,2399221.68603,52.0
Line,PS_HSL,37489571.719,2399228.126,37489575.922,2399236.419,37489573.8205,2399232.2725,53.0
Insert,ArrowPS_HSL,37489574.1261,2399232.87547,37489574.1261,2399232.87547,37489573.7064,2399232.04733,53.0
Line,PS_HSL,37489575.922,2399236.419,37489590.175,2399257.947,37489583.0485,2399247.183,54.0
Insert,ArrowPS_HSL,37489583.4217,2399247.74665,37489583.4217,2399247.74665,37489582.9091,2399246.97251,54.0
Line,PS_HSL,37489578.819,2399235.411,37489575.922,2399236.419,37489577.3705,2399235.915,
Line,PS_HSL,37489573.635,2399237.457,37489575.922,2399236.419,37489574.7785,2399236.938,
Line,PS_HSL,37489592.398,2399224.054,37489575.922,2399236.419,37489584.16,2399230.2365,55.0
Insert,ArrowPS_HSL,37489583.6193,2399230.64226,37489583.6193,2399230.64226,37489584.3619,2399230.08497,55.0
Line,PS_HSL,37489592.096,2399256.06,37489590.175,2399257.947,37489591.1355,2399257.0035,
Line,PS_HSL,37489587.935,2399260.829,37489590.175,2399257.947,37489589.055,2399259.388,
Line,PS_HSL,37489051.756,2399967.74,37489055.155,2399973.373,37489053.4555,2399970.5565,56.0
Insert,ArrowPS_HSL,37489053.8047,2399971.13528,37489053.8047,2399971.13528,37489053.3251,2399970.34036,56.0
Line,PS_HSL,37488805.707,2399946.428,37488824.386,2399940.684,37488815.0465,2399943.556,57.0
Insert,ArrowPS_HSL,37488815.6926,2399943.35731,37488815.6926,2399943.35731,37488814.8052,2399943.6302,57.0
Line,PS_HSL,37488821.783,2399945.821,37488824.386,2399940.684,37488823.0845,2399943.2525,58.0
Insert,ArrowPS_HSL,37488823.39,2399942.64951,37488823.39,2399942.64951,37488822.9704,2399943.47768,58.0
Line,PS_HSL,37488800.99,2399950.44,37488805.707,2399946.428,37488803.3485,2399948.434,59.0
Insert,ArrowPS_HSL,37488803.8634,2399947.99604,37488803.8634,2399947.99604,37488803.1562,2399948.59755,59.0
Line,PS_HSL,37488802.031,2399978.675,37488821.783,2399945.821,37488811.907,2399962.248,60.0
Insert,ArrowPS_HSL,37488812.2553,2399961.66866,37488812.2553,2399961.66866,37488811.7769,2399962.46435,60.0
Line,PS_HSL,37488774.482,2400018.141,37488802.031,2399978.675,37488788.2565,2399998.408,61.0
Insert,ArrowPS_HSL,37488788.6434,2399997.8537,37488788.6434,2399997.8537,37488788.112,2399998.61499,61.0
Line,PS_HSL,37488751.715,2400051.539,37488774.482,2400018.141,37488763.0985,2400034.84,62.0
Insert,ArrowPS_HSL,37488763.4793,2400034.28145,37488763.4793,2400034.28145,37488762.9563,2400035.04858,62.0
Line,PS_HSL,37489465.255,2398616.468,37489465.268,2398612.465,37489465.2615,2398614.4665,
Line,PS_HSL,37489493.898,2398612.528,37489465.268,2398612.465,37489479.583,2398612.4965,63.0
Insert,ArrowPS_HSL,37489478.907,2398612.49501,37489478.907,2398612.49501,37489479.8354,2398612.49706,63.0
Line,PS_HSL,37489494.195,2398616.452,37489493.898,2398612.528,37489494.0465,2398614.49,
Line,PS_HSL,37489523.737,2398612.368,37489493.898,2398612.528,37489508.8175,2398612.448,64.0
Insert,ArrowPS_HSL,37489508.1415,2398612.45162,37489508.1415,2398612.45162,37489509.0699,2398612.44665,64.0
Line,PS_HSL,37489493.784,2398610.923,37489493.898,2398612.528,37489493.841,2398611.7255,
Line,PS_HSL,37489523.723,2398610.897,37489523.737,2398612.368,37489523.73,2398611.6325,
Line,PS_HSL,37489554.019,2398612.275,37489523.737,2398612.368,37489538.878,2398612.3215,65.0
Insert,ArrowPS_HSL,37489538.202,2398612.32358,37489538.202,2398612.32358,37489539.1304,2398612.32072,65.0
Line,PS_HSL,37489523.572,2398616.418,37489523.737,2398612.368,37489523.6545,2398614.393,
Line,PS_HSL,37489553.87,2398616.397,37489554.019,2398612.275,37489553.9445,2398614.336,
Line,PS_HSL,37489554.58,2398609.087,37489554.019,2398612.275,37489554.2995,2398610.681,
Line,PS_HSL,37489555.207,2398607.516,37489554.58,2398609.087,37489554.8935,2398608.3015,
Line,PS_HSL,37489557.286,2398621.242,37489560.667,2398618.579,37489558.9765,2398619.9105,
Line,PS_HSL,37489560.096,2398630.203,37489560.667,2398618.579,37489560.3815,2398624.391,66.0
Insert,ArrowPS_HSL,37489560.4147,2398623.71583,37489560.4147,2398623.71583,37489560.3691,2398624.64313,66.0
Line,PS_HSL,37489562.685,2398621.722,37489557.286,2398621.242,37489559.9855,2398621.482,67.0
Insert,ArrowPS_HSL,37489559.3122,2398621.42214,37489559.3122,2398621.42214,37489560.2369,2398621.50435,67.0
Line,PS_HSL,37489559.828,2398638.695,37489560.096,2398630.203,37489559.962,2398634.449,68.0
Insert,ArrowPS_HSL,37489559.9833,2398633.77335,37489559.9833,2398633.77335,37489559.954,2398634.70131,68.0
Line,PS_HSL,37489559.95,2398655.656,37489559.828,2398638.695,37489559.889,2398647.1755,69.0
Insert,ArrowPS_HSL,37489559.8841,2398646.49953,37489559.8841,2398646.49953,37489559.8908,2398647.42793,69.0
Line,PS_HSL,37489562.967,2398639.896,37489559.828,2398638.695,37489561.3975,2398639.2955,
Line,PS_HSL,37489557.305,2398640.638,37489562.967,2398639.896,37489560.136,2398640.267,70.0
Insert,ArrowPS_HSL,37489560.8063,2398640.17916,37489560.8063,2398640.17916,37489559.8857,2398640.2998,70.0
Line,PS_HSL,37489562.846,2398653.37,37489559.95,2398655.656,37489561.398,2398654.513,
Line,PS_HSL,37489557.343,2398658.69,37489559.95,2398655.656,37489558.6465,2398657.173,
Line,PS_HSL,37489589.771,2398612.099,37489554.019,2398612.275,37489571.895,2398612.187,71.0
Insert,ArrowPS_HSL,37489571.219,2398612.19033,37489571.219,2398612.19033,37489572.1474,2398612.18576,71.0
Line,PS_HSL,37489624.596,2398612.271,37489589.771,2398612.099,37489607.1835,2398612.185,72.0
Insert,ArrowPS_HSL,37489606.5075,2398612.18166,37489606.5075,2398612.18166,37489607.4359,2398612.18625,72.0
Line,PS_HSL,37489642.885,2398612.118,37489624.596,2398612.271,37489633.7405,2398612.1945,73.0
Insert,ArrowPS_HSL,37489633.0645,2398612.20015,37489633.0645,2398612.20015,37489633.9929,2398612.19239,73.0
Line,PS_HSL,37489627.165,2398609.64,37489624.596,2398612.271,37489625.8805,2398610.9555,
Line,PS_HSL,37489627.529,2398616.111,37489624.596,2398612.271,37489626.0625,2398614.191,
Line,PS_HSL,37489643.054,2398610.621,37489642.885,2398612.118,37489642.9695,2398611.3695,
Line,PS_HSL,37489642.697,2398616.345,37489642.885,2398612.118,37489642.791,2398614.2315,
Line,PS_HSL,37489624.498,2398623.979,37489624.596,2398612.271,37489624.547,2398618.125,74.0
Insert,ArrowPS_HSL,37489624.5527,2398617.44904,37489624.5527,2398617.44904,37489624.5449,2398618.37743,74.0
Line,PS_HSL,37489622.508,2398620.277,37489624.498,2398623.979,37489623.503,2398622.128,
Line,PS_HSL,37489629.373,2398620.749,37489624.498,2398623.979,37489626.9355,2398622.364,75.0
Insert,ArrowPS_HSL,37489626.372,2398622.73737,37489626.372,2398622.73737,37489627.1459,2398622.22457,75.0
Line,PS_HSL,37489624.88,2398644.571,37489624.498,2398623.979,37489624.689,2398634.275,76.0
Insert,ArrowPS_HSL,37489624.6765,2398633.59913,37489624.6765,2398633.59913,37489624.6937,2398634.52739,76.0
Line,PS_HSL,37489620.609,2398645.417,37489624.88,2398644.571,37489622.7445,2398644.994,
Line,PS_HSL,37489624.768,2398667.3,37489624.88,2398644.571,37489624.824,2398655.9355,77.0
Insert,ArrowPS_HSL,37489624.8273,2398655.25952,37489624.8273,2398655.25952,37489624.8228,2398656.18793,77.0
Line,PS_HSL,37489629.404,2398644.588,37489624.88,2398644.571,37489627.142,2398644.5795,
Line,PS_HSL,37489645.261,2397157.207,37489643.233,2397157.213,37489644.247,2397157.21,
Line,PS_HSL,37489668.799,2396967.415,37489666.204,2396967.192,37489667.5015,2396967.3035,
Line,PS_HSL,37489668.799,2396967.415,37489678.107,2396968.335,37489673.453,2396967.875,78.0
Insert,ArrowPS_HSL,37489672.7803,2396967.80851,37489672.7803,2396967.80851,37489673.7042,2396967.89983,78.0
Line,PS_HSL,37489668.799,2396967.415,37489669.594,2396967.494,37489669.1965,2396967.4545,
Line,PS_HSL,37489673.377,2396931.657,37489671.006,2396931.439,37489672.1915,2396931.548,
Line,PS_HSL,37489674.026,2396931.847,37489673.377,2396931.657,37489673.7015,2396931.752,
Line,PS_HSL,37489673.377,2396931.657,37489682.511,2396932.965,37489677.944,2396932.311,79.0
Insert,ArrowPS_HSL,37489677.2748,2396932.21518,37489677.2748,2396932.21518,37489678.1939,2396932.34678,79.0
Line,PS_HSL,37489676.937,2396898.901,37489675.139,2396898.858,37489676.038,2396898.8795,
Line,PS_HSL,37489070.452,2396998.777,37489119.944,2396996.512,37489095.198,2396997.6445,80.0
Insert,ArrowPS_HSL,37489095.8733,2396997.6136,37489095.8733,2396997.6136,37489094.9458,2396997.65604,80.0
Line,PS_HSL,37490008.803,2398193.901,37490008.838,2398214.651,37490008.8205,2398204.276,81.0
Insert,ArrowPS_HSL,37490008.8216,2398204.95198,37490008.8216,2398204.95198,37490008.8201,2398204.02356,81.0
Line,PS_HSL,37490008.838,2398214.651,37490009.061,2398218.807,37490008.9495,2398216.729,
Line,PS_HSL,37489982.932,2398214.578,37489982.813,2398212.639,37489982.8725,2398213.6085,
Line,PS_HSL,37489982.813,2398212.639,37489983.904,2398195.091,37489983.3585,2398203.865,82.0
Insert,ArrowPS_HSL,37489983.3166,2398204.53968,37489983.3166,2398204.53968,37489983.3742,2398203.61305,82.0
Line,PS_HSL,37489983.904,2398195.091,37489957.341,2398195.751,37489970.6225,2398195.421,83.0
Insert,ArrowPS_HSL,37489971.2983,2398195.40421,37489971.2983,2398195.40421,37489970.3701,2398195.42727,83.0
Line,PS_HSL,37489761.265,2399251.485,37489762.203,2399253.559,37489761.734,2399252.522,
Line,PS_HSL,37489591.457,2399223.04,37489592.398,2399224.054,37489591.9275,2399223.547,
Line,PS_HSL,37489612.858,2399172.273,37489601.065,2399202.662,37489606.9615,2399187.4675,84.0
Insert,ArrowPS_HSL,37489606.7169,2399188.09769,37489606.7169,2399188.09769,37489607.0528,2399187.23216,84.0
Line,PS_HSL,37489599.577,2399202.348,37489601.065,2399202.662,37489600.321,2399202.505,
Line,PS_HSL,37489602.882,2399202.708,37489601.065,2399202.662,37489601.9735,2399202.685,
Line,PS_HSL,37489617.04,2399166.557,37489612.858,2399172.273,37489614.949,2399169.415,85.0
Insert,ArrowPS_HSL,37489614.5499,2399169.96056,37489614.5499,2399169.96056,37489615.0981,2399169.21127,85.0
Line,PS_HSL,37489613.983,2399173.731,37489612.858,2399172.273,37489613.4205,2399173.002,
Line,PS_HSL,37489479.72,2396484.078,37489478.728,2396478.305,37489479.224,2396481.1915,86.0
Insert,ArrowPS_HSL,37489479.1095,2396480.52528,37489479.1095,2396480.52528,37489479.2668,2396481.44029,86.0
Line,PS_HSL,37489710.533,2396681.11,37489711.005,2396681.174,37489710.769,2396681.142,
Line,PS_HSL,37489708.367,2396719.967,37489708.929,2396720.106,37489708.648,2396720.0365,
Line,PS_HSL,37489705.214,2396745.973,37489705.86,2396746.12,37489705.537,2396746.0465,
Line,PS_HSL,37489449.514,2396963.323,37489453.123,2396956.689,37489451.3185,2396960.006,87.0
Insert,ArrowPS_HSL,37489450.9955,2396960.5998,37489450.9955,2396960.5998,37489451.4391,2396959.78425,87.0
Line,PS_HSL,37489451.894,2396975.429,37489449.514,2396963.323,37489450.704,2396969.376,88.0
Insert,ArrowPS_HSL,37489450.5736,2396968.71271,37489450.5736,2396968.71271,37489450.7527,2396969.6237,88.0
Line,PS_HSL,37489483.215,2396456.487,37489483.67,2396458.238,37489483.4425,2396457.3625,
Line,PS_HSL,37488449.019,2399532.666,37488392.619,2399511.422,37488420.819,2399522.044,89.0
Insert,ArrowPS_HSL,37488420.1864,2399521.80572,37488420.1864,2399521.80572,37488421.0552,2399522.13298,89.0
Line,PS_HSL,37489004.612,2399958.793,37489004.681,2399959.964,37489004.6465,2399959.3785,
Line,PS_HSL,37488974.446,2399960.368,37488974.387,2399962.498,37488974.4165,2399961.433,
