Entity,Layer,XS,YS,XE,YE,XM,YM,ID
Line,PS_YSL,37491057.031,2397282.398,37491058.293,2397282.425,37491057.662,2397282.4115,
Line,PS_YSL,37491074.401,2397282.512,37491058.293,2397282.425,37491066.347,2397282.4685,78.0
Insert,ArrowPS_YSL,37491065.671,2397282.46485,37491065.671,2397282.46485,37491066.5994,2397282.46986,78.0
Line,PS_YSL,37491074.202,2397297.24,37491058.252,2397297.418,37491066.227,2397297.329,79.0
Insert,ArrowPS_YSL,37491065.5511,2397297.33654,37491065.5511,2397297.33654,37491066.4794,2397297.32618,79.0
Line,PS_YSL,37491060.395,2397327.212,37491058.296,2397327.144,37491059.3455,2397327.178,
Line,PS_YSL,37491057.269,2397327.144,37491058.296,2397327.144,37491057.7825,2397327.144,
Line,PS_YSL,37491074.218,2397327.277,37491058.296,2397327.144,37491066.257,2397327.2105,80.0
Insert,ArrowPS_YSL,37491065.581,2397327.20485,37491065.581,2397327.20485,37491066.5094,2397327.21261,80.0
Line,PS_YSL,37491059.013,2397356.979,37491058.292,2397357.06,37491058.6525,2397357.0195,
Line,PS_YSL,37491057.375,2397356.979,37491058.292,2397357.06,37491057.8335,2397357.0195,
Line,PS_YSL,37491059.607,2397297.392,37491058.252,2397297.418,37491058.9295,2397297.405,
Line,PS_YSL,37491056.873,2397297.403,37491058.252,2397297.418,37491057.5625,2397297.4105,
Line,PS_YSL,37491075.485,2397230.954,37491074.272,2397230.923,37491074.8785,2397230.9385,
Line,PS_YSL,37491073.015,2397230.984,37491074.272,2397230.923,37491073.6435,2397230.9535,
Line,PS_YSL,37491074.272,2397230.923,37491058.282,2397230.952,37491066.277,2397230.9375,81.0
Insert,ArrowPS_YSL,37491065.601,2397230.93873,37491065.601,2397230.93873,37491066.5294,2397230.93704,81.0
Line,PS_YSL,37491075.513,2397187.667,37491074.539,2397187.618,37491075.026,2397187.6425,
Line,PS_YSL,37491072.754,2397187.655,37491074.539,2397187.618,37491073.6465,2397187.6365,
Line,PS_YSL,37491059.337,2397187.726,37491058.42,2397187.472,37491058.8785,2397187.599,
Line,PS_YSL,37492435.022,2398292.653,37492453.264,2398268.576,37492444.143,2398280.6145,82.0
Insert,ArrowPS_YSL,37492444.5512,2398280.0757,37492444.5512,2398280.0757,37492443.9906,2398280.81571,82.0
Line,PS_YSL,37492453.264,2398268.576,37492472.995,2398242.628,37492463.1295,2398255.602,83.0
