Entity,Layer,XS,YS,XE,YE,XM,YM,ID,PS,PE,DS,DE,RS,RE,Shortest_Euclidean_Distance,RefName,ORIG_FID,Texture,DN,Pipe_Diameter
Line,PS_WSL,37491511.92,2395628.065,37491510.93,2395620.084,91511.42,2395624.075,85.0,WS_6667,WS_1197,7.45e-09,0.0,0,0,0.5,Ì≈  DN400,42741.0,Ì≈,DN,400
Line,PS_WSL,37491559.15,2395620.347,37491510.93,2395620.084,91535.04,2395620.216,86.0,WS_1063,WS_1197,0.0,0.0,0,0,0.5,Ì≈  DN800,42742.0,Ì≈,DN,800
Line,PS_WSL,37491424.61,2394817.705,37491437.92,2394813.937,91431.27,2394815.821,87.0,WS_6525,WS_762,0.0,0.0,0,0,0.5,PVC  DN200,42743.0,PVC,DN,200
Line,PS_WSL,37493391.06,2396290.305,37493344.68,2396289.342,93367.87,2396289.824,88.0,WS_831,WS_827,0.0,0.0,0,0,0.5,Ì≈  DN500,42744.0,Ì≈,DN,500
Line,PS_WSL,37493160.17,2395128.135,37493101.77,2395128.482,93130.97,2395128.309,89.0,WS_6353,WS_332,7.45e-09,0.0,0,0,0.5,Ì≈  DN500,42745.0,Ì≈,DN,500
Line,PS_WSL,37492383.51,2395264.363,37492404.53,2395289.189,92394.02,2395276.776,90.0,WS_6603,WS_1020,0.0,0.0,0,0,0.5,Ì≈  DN600,42746.0,Ì≈,DN,600
Line,PS_WSL,37492404.52,2395479.407,37492404.5,2395448.259,92404.51,2395463.833,91.0,WS_789,WS_788,0.0,0.0,0,0,0.5,Ì≈  DN1000,42747.0,Ì≈,DN,1000
Line,PS_WSL,37492439.04,2395479.164,37492404.52,2395479.407,92421.78,2395479.286,92.0,WS_6385,WS_789,7.45e-09,0.0,0,0,0.5,Ì≈  DN600,42748.0,Ì≈,DN,600
Line,PS_WSL,37492395.33,2395489.94,37492404.52,2395479.407,92399.93,2395484.674,93.0,WS_365,WS_789,0.0,0.0,0,0,0.5,Ì≈  DN1000,42749.0,Ì≈,DN,1000
Line,PS_WSL,37492392.81,2395506.412,37492395.33,2395489.94,92394.07,2395498.176,94.0,WS_6386,WS_365,7.45e-09,0.0,0,0,0.5,Ì≈  DN200,42750.0,Ì≈,DN,200
Line,PS_WSL,37492404.61,2395519.079,37492395.33,2395489.94,92399.97,2395504.51,95.0,WS_366,WS_365,0.0,0.0,0,0,0.5,Ì≈  DN1000,42751.0,Ì≈,DN,1000
Line,PS_WSL,37492404.59,2395530.323,37492404.61,2395519.079,92404.6,2395524.701,96.0,WS_367,WS_366,0.0,0.0,0,0,0.5,Ì≈  DN1000,42752.0,Ì≈,DN,1000
Line,PS_WSL,37492404.45,2395569.503,37492404.59,2395530.323,92404.52,2395549.913,97.0,WS_319,WS_367,0.0,0.0,0,0,0.5,Ì≈  DN1000,42753.0,Ì≈,DN,1000
Line,PS_WSL,37492395.89,2395569.272,37492404.45,2395569.503,92400.17,2395569.388,98.0,WS_405,WS_319,0.0,0.0,0,0,0.5,Ì≈  DN400,42754.0,Ì≈,DN,400
Line,PS_WSL,37493859.41,2395123.841,37493835.21,2395105.826,93847.31,2395114.834,99.0,WS_768,WS_1119,0.0,0.0,0,0,0.5,Ì≈  DN600,42755.0,Ì≈,DN,600
Line,PS_WSL,37493954.0,2395629.779,37493954.41,2395605.029,93954.21,2395617.404,100.0,WS_959,WS_612,0.0,0.0,0,0,0.5,Ì≈  DN600,42756.0,Ì≈,DN,600
Line,PS_WSL,37493115.75,2395542.647,37493086.76,2395542.072,93101.25,2395542.36,101.0,WS_499,WS_230,0.0,0.0,0,0,0.5,Ì≈  DN500,42757.0,Ì≈,DN,500
Line,PS_WSL,37493337.01,2394887.851,37493336.77,2394903.886,93336.89,2394895.869,102.0,WS_6340,WS_920,0.0,0.0,0,0,0.5,Ì≈  DN400,42758.0,Ì≈,DN,400
Line,PS_WSL,37493281.01,2394911.827,37493306.29,2394903.9,93293.65,2394907.864,103.0,WS_318,WS_240,0.0,0.0,0,0,0.5,Ì≈  DN400,42759.0,Ì≈,DN,400
Line,PS_WSL,37493277.93,2394905.092,37493281.01,2394911.827,93279.47,2394908.46,104.0,WS_241,WS_318,0.0,0.0,0,0,0.5,PE  DN300,42760.0,PE,DN,300
Line,PS_WSL,37493256.25,2394922.927,37493281.01,2394911.827,93268.63,2394917.377,105.0,WS_6373,WS_318,7.45e-09,0.0,0,0,0.5,Ì≈  DN400,42761.0,Ì≈,DN,400
Line,PS_WSL,37492405.07,2396647.016,37492405.02,2396676.934,92405.04,2396661.975,106.0,WS_1062,WS_249,0.0,0.0,0,0,0.5,Ì≈  DN500,42762.0,Ì≈,DN,500
Line,PS_WSL,37492396.51,2396677.369,37492405.02,2396676.934,92400.77,2396677.152,107.0,WS_833,WS_249,0.0,0.0,0,0,0.5,Ì≈  DN400,42763.0,Ì≈,DN,400
Line,PS_WSL,37493087.02,2395360.878,37493054.81,2395359.725,93070.91,2395360.302,108.0,WS_154,WS_153,0.0,0.0,0,0,0.5,Ì≈  DN400,42764.0,Ì≈,DN,400
Line,PS_WSL,37493044.88,2395359.627,37493054.81,2395359.725,93049.84,2395359.676,109.0,WS_6282,WS_153,0.0,0.0,0,0,0.5,Ì≈  DN400,42765.0,Ì≈,DN,400
Line,PS_WSL,37492433.36,2396374.986,37492404.8,2396374.764,92419.08,2396374.875,110.0,WS_544,WS_945,0.0,0.0,0,0,0.5,Ì≈  DN600,42766.0,Ì≈,DN,600
