Entity,Layer,XS,YS,XE,YE,XM,YM,ID,PS,PE,DS,DE,RS,RE,Shortest_Euclidean_Distance,RefName,ORIG_FID,Texture,DN,Pipe_Diameter
Line,PS_HSL,37489575.79,2398193.975,37489574.35,2398210.411,89575.07,2398202.193,370.0,HS_577,HS_596,0.0,0.0,0,0,0.5,PVC  DN200,51787.0,PVC,DN,200
Line,PS_HSL,37489559.66,2398193.901,37489559.55,2398210.414,89559.6,2398202.158,371.0,HS_578,HS_592,0.0,0.0,0,0,0.5,PVC  DN200,51788.0,PVC,DN,200
Line,PS_HSL,37489529.67,2398193.969,37489529.6,2398210.373,89529.64,2398202.171,372.0,HS_579,HS_590,0.0,0.0,0,0,0.5,PVC  DN200,51789.0,PVC,DN,200
Line,PS_HSL,37489504.69,2398193.95,37489504.51,2398210.374,89504.6,2398202.162,373.0,HS_580,HS_587,0.0,0.0,0,0,0.5,PVC  DN200,51790.0,PVC,DN,200
Line,PS_HSL,37489444.67,2398193.881,37489443.82,2398210.335,89444.24,2398202.108,374.0,HS_960,HS_581,7.45e-09,0.0,0,0,0.5,PVC  DN200,51791.0,PVC,DN,200
Line,PS_HSL,37489443.91,2398213.209,37489468.65,2398213.16,89456.28,2398213.185,375.0,HS_582,HS_588,0.0,0.0,0,0,0.5,Ì≈  DN500,51792.0,Ì≈,DN,500
Line,PS_HSL,37489458.74,2398210.438,37489468.63,2398210.453,89463.68,2398210.446,376.0,HS_584,HS_585,0.0,0.0,0,0,0.5,PVC  DN200,51793.0,PVC,DN,200
Line,PS_HSL,37489426.26,2398230.659,37489425.85,2398218.781,89426.05,2398224.72,377.0,HS_36,HS_583,0.0,0.0,0,0,0.5,Ì≈  DN500,51794.0,Ì≈,DN,500
Line,PS_HSL,37489468.65,2398213.16,37489497.61,2398213.412,89483.13,2398213.286,378.0,HS_588,HS_589,0.0,0.0,0,0,0.5,Ì≈  DN500,51795.0,Ì≈,DN,500
Line,PS_HSL,37489497.88,2398188.337,37489497.54,2398210.534,89497.71,2398199.436,379.0,HS_962,HS_961,0.0,7.45e-09,0,0,0.5,PVC  DN200,51796.0,PVC,DN,200
Line,PS_HSL,37489529.01,2398213.338,37489559.53,2398213.174,89544.27,2398213.256,380.0,HS_964,HS_595,0.0,0.0,0,0,0.5,Ì≈  DN500,51797.0,Ì≈,DN,500
Line,PS_HSL,37489574.29,2398213.074,37489589.81,2398213.087,89582.05,2398213.081,381.0,HS_965,HS_966,0.0,7.45e-09,0,0,0.5,Ì≈  DN500,51798.0,Ì≈,DN,500
Line,PS_HSL,37489589.81,2398213.087,37489618.72,2398213.223,89604.27,2398213.155,382.0,HS_966,HS_601,7.45e-09,0.0,0,0,0.5,Ì≈  DN500,51799.0,Ì≈,DN,500
Line,PS_HSL,37489619.36,2398193.941,37489618.31,2398210.403,89618.83,2398202.172,383.0,HS_598,HS_599,0.0,0.0,0,0,0.5,Ì≈  DN200,51800.0,Ì≈,DN,200
Line,PS_HSL,37489618.72,2398213.223,37489647.48,2398213.206,89633.1,2398213.215,384.0,HS_601,HS_603,0.0,0.0,0,0,0.5,Ì≈  DN500,51801.0,Ì≈,DN,500
Line,PS_HSL,37489647.48,2398213.206,37489678.96,2398213.979,89663.22,2398213.593,385.0,HS_603,HS_969,0.0,7.45e-09,0,0,0.5,Ì≈  DN500,51802.0,Ì≈,DN,500
Line,PS_HSL,37489716.43,2398290.33,37489716.34,2398271.099,89716.38,2398280.715,386.0,HS_463,HS_464,0.0,0.0,0,0,0.5,Ì≈  DN500,51803.0,Ì≈,DN,500
Line,PS_HSL,37489716.34,2398271.099,37489716.8,2398252.98,89716.57,2398262.04,387.0,HS_464,HS_465,0.0,0.0,0,0,0.5,Ì≈  DN500,51804.0,Ì≈,DN,500
Line,PS_HSL,37489716.8,2398252.98,37489717.0,2398236.713,89716.9,2398244.847,388.0,HS_465,HS_466,0.0,0.0,0,0,0.5,Ì≈  DN500,51805.0,Ì≈,DN,500
Line,PS_HSL,37489717.0,2398236.713,37489717.43,2398214.389,89717.22,2398225.551,389.0,HS_466,HS_606,0.0,0.0,0,0,0.5,Ì≈  DN500,51806.0,Ì≈,DN,500
Line,PS_HSL,37489725.34,2397723.215,37489759.08,2397725.428,89742.21,2397724.322,390.0,YS_19945,HS_1019,7.45e-09,0.0,0,0,0.5,Ì≈  DN1000X1000,51807.0,Ì≈,DN,1000X1000
Line,PS_HSL,37489728.07,2399061.269,37489727.31,2399051.042,89727.69,2399056.156,391.0,HS_208,HS_777,0.0,7.45e-09,0,0,0.5,Ì≈  DN400,51808.0,Ì≈,DN,400
Line,PS_HSL,37489643.23,2397157.213,37489640.95,2397175.688,89642.09,2397166.451,392.0,HS_684,HS_678,0.0,0.0,0,0,0.5,Ì≈  DN300,51809.0,Ì≈,DN,300
Line,PS_HSL,37489640.95,2397175.688,37489639.44,2397189.974,89640.19,2397182.831,393.0,HS_678,HS_683,0.0,0.0,0,0,0.5,Ì≈  DN300,51810.0,Ì≈,DN,300
Line,PS_HSL,37489639.44,2397189.974,37489637.43,2397228.305,89638.43,2397209.14,394.0,HS_683,HS_682,0.0,0.0,0,0,0.5,Ì≈  DN300,51811.0,Ì≈,DN,300
Line,PS_HSL,37489598.17,2396482.667,37489569.79,2396483.158,89583.98,2396482.913,395.0,HS_891,HS_709,7.45e-09,0.0,0,0,0.5,Ì≈  DN600,51812.0,Ì≈,DN,600
Line,PS_HSL,37489692.4,2396755.506,37489693.86,2396744.596,89693.13,2396750.051,396.0,HS_881,HS_693,7.45e-09,0.0,0,0,0.5,Ì≈  DN500,51813.0,Ì≈,DN,500
