Entity,Layer,XS,YS,XE,YE,XM,YM,ID,PS,PE,DS,DE,RS,RE
Line,PS_HSL,37489620.61,2398645.417,37489624.88,2398644.571,37489622.74,2398644.994,,HS_353,HS_352,0,0,0,0
Line,PS_HSL,37489624.77,2398667.3,37489624.88,2398644.571,37489624.82,2398655.936,77,HS_354,HS_352,0,0,0,0
Line,PS_HSL,37489629.4,2398644.588,37489624.88,2398644.571,37489627.14,2398644.58,,HS_355,HS_352,0,0,0,0
Line,PS_HSL,37489645.26,2397157.207,37489643.23,2397157.213,37489644.25,2397157.21,,HS_404,HS_684,0,0,0,0
Line,PS_HSL,37489668.8,2396967.415,37489666.2,2396967.192,37489667.5,2396967.304,,HS_226,HS_687,0,0,0,0
Line,PS_HSL,37489668.8,2396967.415,37489678.11,2396968.335,37489673.45,2396967.875,78,HS_226,HS_547,0,0,0,0
Line,PS_HSL,37489668.8,2396967.415,37489669.59,2396967.494,37489669.2,2396967.455,,HS_226,HS_688,0,0,0,0
Line,PS_HSL,37489673.38,2396931.657,37489671.01,2396931.439,37489672.19,2396931.548,,HS_227,HS_689,0,0,0,0
Line,PS_HSL,37489674.03,2396931.847,37489673.38,2396931.657,37489673.7,2396931.752,,HS_228,HS_227,0,0,0,0
Line,PS_HSL,37489673.38,2396931.657,37489682.51,2396932.965,37489677.94,2396932.311,79,HS_227,HS_546,0,0,0,0
Line,PS_HSL,37489676.94,2396898.901,37489675.14,2396898.858,37489676.04,2396898.88,,HS_229,HS_690,0,0,0,0
Line,PS_HSL,37489070.45,2396998.777,37489119.94,2396996.512,37489095.2,2396997.645,80,HS_146,HS_221,0,0,0,0
Line,PS_HSL,37490008.8,2398193.901,37490008.84,2398214.651,37490008.82,2398204.276,81,HS_468,HS_469,0,0,0,0
Line,PS_HSL,37490008.84,2398214.651,37490009.06,2398218.807,37490008.95,2398216.729,,HS_469,HS_486,0,0,0,0
Line,PS_HSL,37489982.93,2398214.578,37489982.81,2398212.639,37489982.87,2398213.609,,HS_470,HS_471,0,0,0,0
Line,PS_HSL,37489982.81,2398212.639,37489983.9,2398195.091,37489983.36,2398203.865,82,HS_471,HS_472,0,0,0,0
Line,PS_HSL,37489983.9,2398195.091,37489957.34,2398195.751,37489970.62,2398195.421,83,HS_472,HS_712,0,0,0,0
Line,PS_HSL,37489761.27,2399251.485,37489762.2,2399253.559,37489761.73,2399252.522,,HS_289,HS_237,0,0,0,0
Line,PS_HSL,37489591.46,2399223.04,37489592.4,2399224.054,37489591.93,2399223.547,,HS_296,HS_162,0,0,0,0
Line,PS_HSL,37489612.86,2399172.273,37489601.07,2399202.662,37489606.96,2399187.468,84,HS_297,HS_294,0,0,0,0
Line,PS_HSL,37489599.58,2399202.348,37489601.07,2399202.662,37489600.32,2399202.505,,HS_298,HS_294,0,0,0,0
Line,PS_HSL,37489602.88,2399202.708,37489601.07,2399202.662,37489601.97,2399202.685,,HS_299,HS_294,0,0,0,0
Line,PS_HSL,37489617.04,2399166.557,37489612.86,2399172.273,37489614.95,2399169.415,85,HS_846,HS_297,7.45E-09,0,0,0
Line,PS_HSL,37489613.98,2399173.731,37489612.86,2399172.273,37489613.42,2399173.002,,HS_847,HS_297,7.45E-09,0,0,0
Line,PS_HSL,37489479.72,2396484.078,37489478.73,2396478.305,37489479.22,2396481.192,86,HS_443,HS_559,0,0,0,0
Line,PS_HSL,37489710.53,2396681.11,37489711.01,2396681.174,37489710.77,2396681.142,,HS_444,HS_560,0,0,0,0
Line,PS_HSL,37489708.37,2396719.967,37489708.93,2396720.106,37489708.65,2396720.037,,HS_445,HS_561,0,0,0,0
Line,PS_HSL,37489705.21,2396745.973,37489705.86,2396746.12,37489705.54,2396746.047,,HS_446,HS_562,0,0,0,0
Line,PS_HSL,37489449.51,2396963.323,37489453.12,2396956.689,37489451.32,2396960.006,87,HS_222,HS_958,0,7.45E-09,0,0
Line,PS_HSL,37489451.89,2396975.429,37489449.51,2396963.323,37489450.7,2396969.376,88,HS_223,HS_222,0,0,0,0
Line,PS_HSL,37489483.22,2396456.487,37489483.67,2396458.238,37489483.44,2396457.363,,HS_905,HS_467,0,0,0,0
Line,PS_HSL,37488449.02,2399532.666,37488392.62,2399511.422,37488420.82,2399522.044,89,HS_188,HS_187,0,0,0,0
Line,PS_HSL,37489004.61,2399958.793,37489004.68,2399959.964,37489004.65,2399959.379,,HS_189,HS_388,0,0,0,0
Line,PS_HSL,37488974.45,2399960.368,37488974.39,2399962.498,37488974.42,2399961.433,,HS_85,HS_389,0,0,0,0
Line,PS_HSL,37488944,2399962.048,37488944.07,2399963.286,37488944.04,2399962.667,,HS_86,HS_390,0,0,0,0
Line,PS_HSL,37488911.82,2399962.672,37488911.8,2399964.493,37488911.81,2399963.583,,HS_87,HS_391,0,0,0,0
Line,PS_HSL,37488886.67,2399958.046,37488885.79,2399960.064,37488886.23,2399959.055,,HS_88,HS_716,0,0,0,0
Line,PS_HSL,37488863.05,2399947.621,37488862.02,2399949.17,37488862.53,2399948.396,,HS_89,HS_715,0,0,0,0
Line,PS_HSL,37489457.71,2396483.692,37489467.2,2396498.514,37489462.45,2396491.103,90,HS_218,HS_949,0,0,0,0
Line,PS_HSL,37489620.98,2396455.083,37489621.13,2396459.156,37489621.05,2396457.12,,HS_946,HS_706,7.45E-09,0,0,0
Line,PS_HSL,37489621.13,2396459.156,37489624.1,2396484.473,37489622.61,2396471.815,91,HS_706,HS_705,0,0,0,0
Line,PS_HSL,37489426.26,2398230.659,37489403.76,2398230.937,37489415.01,2398230.798,92,HS_36,HS_5043,0,0,0,0
Line,PS_HSL,37489448.24,2396254.444,37489405.16,2396252.514,37489426.7,2396253.479,93,WS_5723,WS_1021,0,0,0,0
Line,PS_HSL,37489983.98,2398188.635,37489983.8,2398192.914,37489983.89,2398190.775,,HS_827,HS_220,7.45E-09,0,0,0
Line,PS_HSL,37489983.8,2398192.914,37489983.9,2398195.091,37489983.85,2398194.003,,HS_220,HS_472,0,0,0,0
Line,PS_HSL,37489483.67,2396458.238,37489478.73,2396478.305,37489481.2,2396468.272,94,HS_467,HS_559,0,0,0,0
Line,PS_HSL,37488953.76,2397146.351,37488953.72,2397136.105,37488953.74,2397141.228,95,HS_914,HS_507,7.45E-09,0,0,0
Line,PS_HSL,37488950.61,2397136.15,37488953.72,2397136.105,37488952.17,2397136.128,,HS_915,HS_507,0,0,0,0
Line,PS_HSL,37488953.72,2397136.105,37488953.84,2397116.529,37488953.78,2397126.317,96,HS_507,HS_510,0,0,0,0
Line,PS_HSL,37488950.5,2397116.535,37488953.84,2397116.529,37488952.17,2397116.532,,HS_916,HS_510,0,0,0,0
Line,PS_HSL,37488961.05,2397116.229,37488956.04,2397116.415,37488958.54,2397116.322,97,HS_508,HS_509,0,0,0,0
Line,PS_HSL,37488956.04,2397116.415,37488953.84,2397116.529,37488954.94,2397116.472,,HS_509,HS_510,0,0,0,0
Line,PS_HSL,37488953.84,2397116.529,37488953.79,2397106.492,37488953.82,2397111.511,98,HS_510,HS_511,0,0,0,0
Line,PS_HSL,37488951.41,2397109.728,37488953.79,2397106.492,37488952.6,2397108.11,,HS_917,HS_511,7.45E-09,0,0,0
Line,PS_HSL,37488948.96,2397106.682,37488953.79,2397106.492,37488951.37,2397106.587,,HS_918,HS_511,7.45E-09,0,0,0
Line,PS_HSL,37488953.79,2397106.492,37488953.74,2397088.416,37488953.76,2397097.454,99,HS_511,HS_514,0,0,0,0
Line,PS_HSL,37488961.09,2397087.742,37488956.04,2397088.009,37488958.57,2397087.876,100,HS_512,HS_513,0,0,0,0
Line,PS_HSL,37488952.87,2397089.404,37488953.74,2397088.416,37488953.31,2397088.91,,HS_919,HS_514,0,0,0,0
Line,PS_HSL,37488956.04,2397088.009,37488953.74,2397088.416,37488954.89,2397088.213,,HS_513,HS_514,0,0,0,0
Line,PS_HSL,37489497.61,2398213.412,37489504.43,2398213.363,37489501.02,2398213.388,101,HS_589,HS_591,0,0,0,0
Line,PS_HSL,37489529.6,2398210.373,37489529.01,2398213.338,37489529.31,2398211.856,,HS_590,HS_964,0,0,0,0
Line,PS_HSL,37489504.43,2398213.363,37489529.01,2398213.338,37489516.72,2398213.351,102,HS_591,HS_964,0,0,0,0
Line,PS_HSL,37489559.55,2398210.414,37489559.53,2398213.174,37489559.54,2398211.794,,HS_592,HS_595,0,0,0,0
Line,PS_HSL,37489559.32,2398218.041,37489559.53,2398213.174,37489559.43,2398215.608,,HS_593,HS_595,0,0,0,0
