Entity,Layer,Color,Elevation,RefName,Style,Text,ORIG_FID,geometry,x_coordinate,y_coordinate
Text,PS_YSLText,120,0,PVC  DN1000,CDShxStyle,PVC  DN1000,32029,"c(37489634.4725548, 2397850.67519026)",37489634.47,2397850.675
Text,PS_YSLText,120,0,PVC  DN1000,CDShxStyle,PVC  DN1000,32030,"c(37489649.0544225, 2397845.38796255)",37489649.05,2397845.388
Text,PS_YSLText,120,0,Ì≈  DN350X600,CDShxStyle,Ì≈  DN350X600,32031,"c(37489369.8267622, 2398215.65636046)",37489369.83,2398215.656
Text,PS_YSLText,120,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,32032,"c(37486737.3731364, 2397387.47430425)",37486737.37,2397387.474
Text,PS_YSLText,120,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,32033,"c(37486753.4756341, 2397376.86506994)",37486753.48,2397376.865
Text,PS_YSLText,120,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,32034,"c(37486896.1580336, 2397304.38623133)",37486896.16,2397304.386
Text,PS_YSLText,120,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,32035,"c(37486910.6457422, 2397298.80877401)",37486910.65,2397298.809
Text,PS_YSLText,120,0,PVC  DN150,CDShxStyle,PVC  DN150,32036,"c(37489326.7973666, 2396515.21299329)",37489326.8,2396515.213
Text,PS_YSLText,120,0,Ì≈  DN1000X1000,CDShxStyle,Ì≈  DN1000X1000,32037,"c(37488974.1303836, 2396604.04498078)",37488974.13,2396604.045
Text,PS_YSLText,120,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,32038,"c(37487199.9193608, 2397318.3415013)",37487199.92,2397318.342
Text,PS_YSLText,120,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,32039,"c(37486881.4263958, 2397305.55138085)",37486881.43,2397305.551
Text,PS_YSLText,120,0,Ì≈  DN200,CDShxStyle,Ì≈  DN200,32040,"c(37486870.1903025, 2397311.84312699)",37486870.19,2397311.843
Text,PS_YSLText,120,0,Ì≈  DN200,CDShxStyle,Ì≈  DN200,32041,"c(37486849.2126839, 2397320.47343379)",37486849.21,2397320.473
Text,PS_YSLText,120,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,32042,"c(37486857.9697817, 2397313.57600915)",37486857.97,2397313.576
Text,PS_YSLText,120,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,32043,"c(37486835.0983863, 2397325.28057507)",37486835.1,2397325.281
Text,PS_YSLText,120,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,32044,"c(37486811.1697728, 2397339.72386044)",37486811.17,2397339.724
Text,PS_YSLText,120,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,32045,"c(37486825.1693953, 2397334.6395883)",37486825.17,2397334.64
Text,PS_YSLText,120,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,32046,"c(37486783.4906562, 2397357.77850595)",37486783.49,2397357.779
Text,PS_YSLText,120,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,32047,"c(37489747.6037247, 2397421.14281281)",37489747.6,2397421.143
Text,PS_YSLText,120,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,32048,"c(37489742.9494868, 2397407.9471293)",37489742.95,2397407.947
Text,PS_YSLText,120,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,32049,"c(37489736.1169758, 2397393.18314097)",37489736.12,2397393.183
Text,PS_YSLText,120,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,32050,"c(37489744.0189764, 2397427.90562759)",37489744.02,2397427.906
Text,PS_YSLText,120,0,PVC  DN300,CDShxStyle,PVC  DN300,32051,"c(37489181.5027056, 2396887.40915455)",37489181.5,2396887.409
Text,PS_YSLText,120,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,32052,"c(37489244.9144356, 2396887.48745208)",37489244.91,2396887.487
