Entity,Layer,Color,Elevation,RefName,Style,Text,ORIG_FID,geometry,x_coordinate,y_coordinate
Text,PS_HSLtext,2,0,PVC  DN150,CDShxStyle,PVC  DN150,51635,"c(37490335.8647921, 2399231.52324239)",37490335.8647921,2399231.52324239
Text,PS_HSLtext,2,0,PVC  DN200,CDShxStyle,PVC  DN200,51636,"c(37490339.2523484, 2399235.18988431)",37490339.2523484,2399235.18988431
Text,PS_HSLtext,2,0,PVC  DN600,CDShxStyle,PVC  DN600,51637,"c(37490330.2679611, 2399233.17148894)",37490330.2679611,2399233.17148894
Text,PS_HSLtext,2,0,PVC  DN600,CDShxStyle,PVC  DN600,51638,"c(37490314.6139487, 2399227.27861101)",37490314.6139487,2399227.27861101
Text,PS_HSLtext,2,0,PVC  DN600,CDShxStyle,PVC  DN600,51639,"c(37490296.6288806, 2399219.88192748)",37490296.6288806,2399219.88192748
Text,PS_HSLtext,2,0,PVC  DN600,CDShxStyle,PVC  DN600,51640,"c(37490275.1001277, 2399206.81072104)",37490275.1001277,2399206.81072104
Text,PS_HSLtext,2,0,PVC  DN200,CDShxStyle,PVC  DN200,51641,"c(37490263.8588808, 2399202.75649155)",37490263.8588808,2399202.75649155
Text,PS_HSLtext,2,0,PVC  DN600,CDShxStyle,PVC  DN600,51642,"c(37490260.2693019, 2399195.72610425)",37490260.2693019,2399195.72610425
Text,PS_HSLtext,2,0,PVC  DN600,CDShxStyle,PVC  DN600,51643,"c(37490248.5244497, 2399188.44425589)",37490248.5244497,2399188.44425589
Text,PS_HSLtext,2,0,PVC  DN600,CDShxStyle,PVC  DN600,51644,"c(37490232.9907566, 2399191.3535799)",37490232.9907566,2399191.3535799
Text,PS_HSLtext,2,0,PVC  DN600,CDShxStyle,PVC  DN600,51645,"c(37490221.2153623, 2399195.19710331)",37490221.2153623,2399195.19710331
Text,PS_HSLtext,2,0,PVC  DN200,CDShxStyle,PVC  DN200,51646,"c(37490216.0265508, 2399190.18611275)",37490216.0265508,2399190.18611275
Text,PS_HSLtext,2,0,PVC  DN400,CDShxStyle,PVC  DN400,51647,"c(37490458.6699195, 2399277.46799856)",37490458.6699195,2399277.46799856
Text,PS_HSLtext,2,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,51648,"c(37489649.2389888, 2397297.6235018)",37489649.2389888,2397297.6235018
Text,PS_HSLtext,2,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,51649,"c(37489657.6786646, 2397282.85183208)",37489657.6786646,2397282.85183208
Text,PS_HSLtext,2,0,Ì≈  DN600,CDShxStyle,Ì≈  DN600,51650,"c(37489468.0933772, 2396480.51415144)",37489468.0933772,2396480.51415144
Text,PS_HSLtext,2,0,Ì≈  DN600,CDShxStyle,Ì≈  DN600,51651,"c(37489518.5805686, 2396480.99780264)",37489518.5805686,2396480.99780264
Text,PS_HSLtext,2,0,Ì≈  DN600,CDShxStyle,Ì≈  DN600,51652,"c(37489533.0773739, 2396482.17315518)",37489533.0773739,2396482.17315518
Text,PS_HSLtext,2,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,51653,"c(37488958.6072379, 2397162.18465038)",37488958.6072379,2397162.18465038
Text,PS_HSLtext,2,0,Ì≈  DN600,CDShxStyle,Ì≈  DN600,51654,"c(37489554.4546961, 2396482.6980017)",37489554.4546961,2396482.6980017
Text,PS_HSLtext,2,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,51655,"c(37489647.0923393, 2397083.21122191)",37489647.0923393,2397083.21122191
Text,PS_HSLtext,2,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,51656,"c(37489667.5140701, 2397018.77018569)",37489667.5140701,2397018.77018569
Text,PS_HSLtext,2,0,Ì≈  DN600,CDShxStyle,Ì≈  DN600,51657,"c(37489648.4704894, 2396989.22487415)",37489648.4704894,2396989.22487415
Text,PS_HSLtext,2,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,51658,"c(37489666.144574, 2396948.34567138)",37489666.144574,2396948.34567138
Text,PS_HSLtext,2,0,PVC  DN300,CDShxStyle,PVC  DN300,51659,"c(37489662.4637901, 2397010.80745731)",37489662.4637901,2397010.80745731
Text,PS_HSLtext,2,0,PVC  DN300,CDShxStyle,PVC  DN300,51660,"c(37489663.9941453, 2396998.33697984)",37489663.9941453,2396998.33697984
Text,PS_HSLtext,2,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,51661,"c(37489659.7792454, 2397033.95915973)",37489659.7792454,2397033.95915973
Text,PS_HSLtext,2,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,51662,"c(37489652.5993408, 2397090.53288093)",37489652.5993408,2397090.53288093
Text,PS_HSLtext,2,0,Ì≈  DN100X200,CDShxStyle,Ì≈  DN100X200,51663,"c(37489693.9529088, 2396731.63285152)",37489693.9529088,2396731.63285152
Text,PS_HSLtext,2,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,51664,"c(37489694.6022364, 2396659.87749994)",37489694.6022364,2396659.87749994
Text,PS_HSLtext,2,0,Ì≈  DN600,CDShxStyle,Ì≈  DN600,51665,"c(37489671.3078684, 2396556.78888756)",37489671.3078684,2396556.78888756
Text,PS_HSLtext,2,0,Ì≈  DN600,CDShxStyle,Ì≈  DN600,51666,"c(37489680.276985, 2396579.23943214)",37489680.276985,2396579.23943214
Text,PS_HSLtext,2,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,51667,"c(37489692.4736808, 2396624.65319397)",37489692.4736808,2396624.65319397
Text,PS_HSLtext,2,0,Ì≈  DN600,CDShxStyle,Ì≈  DN600,51668,"c(37489686.153306, 2396597.40821008)",37489686.153306,2396597.40821008
Text,PS_HSLtext,2,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,51669,"c(37489697.4258944, 2396651.07552152)",37489697.4258944,2396651.07552152
Text,PS_HSLtext,2,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,51670,"c(37489698.9216015, 2396670.14903912)",37489698.9216015,2396670.14903912
Text,PS_HSLtext,2,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,51671,"c(37489694.7323874, 2396741.93675926)",37489694.7323874,2396741.93675926
Text,PS_HSLtext,2,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,51672,"c(37489691.7522775, 2396764.90589881)",37489691.7522775,2396764.90589881
Text,PS_HSLtext,2,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,51673,"c(37489688.6807121, 2396790.95274606)",37489688.6807121,2396790.95274606
