Entity,Layer,Color,Elevation,RefName,Style,Text,ORIG_FID,geometry,x_coordinate,y_coordinate
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47628,"c(37490542.7074686, 2397295.09021052)",37490542.7074686,2397295.09021052
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47629,"c(37490531.3979855, 2397297.07792401)",37490531.3979855,2397297.07792401
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47630,"c(37490520.6837253, 2397302.50052144)",37490520.6837253,2397302.50052144
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47631,"c(37490508.5310853, 2397314.32705373)",37490508.5310853,2397314.32705373
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47632,"c(37490498.3920455, 2397323.84205859)",37490498.3920455,2397323.84205859
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47633,"c(37490490.3409501, 2397326.78642997)",37490490.3409501,2397326.78642997
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47634,"c(37490464.6715666, 2397324.60059724)",37490464.6715666,2397324.60059724
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47635,"c(37490348.0566353, 2397283.33360744)",37490348.0566353,2397283.33360744
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47636,"c(37490332.1684445, 2397279.73583633)",37490332.1684445,2397279.73583633
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47637,"c(37490314.2465093, 2397271.03501487)",37490314.2465093,2397271.03501487
